47	(0, 0)	(0, 18)	231434,286783,274852,49524,170758,76182,264804,1456044,108775,380552,227318,408295,408451,308223,59538,348200,1101294,1101291,1101290,1101292,385901,207762,311912,19704,357643,375582,475110,660042,54430,395701,236272	408295,408451,395701,227318,385901,231434,286783,274852,108775,380552,170758,348200,1101294,1101291,1101290,1101292,357643,375582,76182,475110,54430,49524,207762,311912,19704,236272,264804,1456044,660042,308223,59538	160	100
48	(0, 0)	(0, 18)	2625154,1019019,100382,154720,299576,817287,336712,1734057,82591,259577,1075851,365562,259577,343071,1080194,191091,291100,2137707,289491,51164,2626882,751202	2625154,154720,336712,259577,751202,1734057,191091,343071,289491,299576,51164,100382,2626882,817287,82591,291100,1019019,1075851,365562,2137707,1080194	190	72
49	(0, 0)	(0, 18)	356984,376926,360031	356984,376926,360031	24	26
50	(0, 0)	(0, 18)	254322,179564,254322,165051	254322,179564,165051	36	38
51	(0, 0)	(0, 18)	206570,265089,354517,136990,322374	136990,265089,354517,322374,206570	56	38
52	(0, 0)	(0, 18)	208299,147629,311368,48409,255229	311368,255229,208299,147629,48409	64	50
53	(0, 0)	(0, 18)	95075,328242,349267,225316,303243	328242,303243,349267,95075,225316	52	40
54	(0, 0)	(0, 18)	396806,396805,363644,2150800	396806,396805,363644,2150800	52	53
55	(0, 0)	(0, 18)	82695,49925,387491,365587	387491,365587,82695,49925	52	49
56	(0, 0)	(0, 18)	356984,376926,360031	356984,376926,360031	24	26
57	(0, 0)	(0, 18)	205154,221912,379532,196285	205154,221912,379532,196285	28	31
58	(0, 0)	(0, 18)	259556,172768,379019	259556,172768,379019	44	44
59	(0, 0)	(0, 18)	29598,1321,294908,383371,239574,239436,245818,195946,342032	342032,239574,195946,245818,29598,383371,239436,294908,1321	80	44
60	(0, 0)	(0, 18)	1423411,1423408,356430,392723,488554,488542	1423411,1423408,392723,488554,488542,356430	44	37
61	(0, 0)	(0, 18)	7177,306809,245715,42210,1138	1138,7177,306809,245715,42210	32	34
62	(0, 0)	(0, 18)	1102104,149408,72860,195946,373288,780493,391857	391857,373288,72860,195946,149408,1102104,780493	80	58
63	(0, 0)	(0, 18)	1058452,362469,17057,393663,399874,2184187	2184187,399874,1058452,362469,17057,393663	54	49
64	(0, 0)	(0, 18)	52017,372539,305367,110313,156385	52017,372539,305367,110313,156385	28	32
